verb_key	role	arg_key
40003014011	A1	40003013013
40003014014	A0	40003014014
40003015001	A1	40003015004
40003015005	A0	40003015004
40003015005	A2	40003015006
40003015007	A0	40003013013
40003015011	A0	00000000000
40003015014	A0	40003013013
40003015014	A0	40003015004
40003015014	A1	40003015016
40003015018	A0	40003013013
40003015018	A1	40003015019
40003016001	A1	40003016004
40003016006	A0	40003016004
40003016012	A1	40003016014
40003016016	A0	40003016004
40003016016	A1	40003016019
40003016016	A1	40003016022
40003016019	A0	40003016017
40003016022	A0	40003016017
40003017007	A0	40003017003
40003017017	A0	40003017003
40004001004	A1	40004001003
40004001011	A1	40004001003
40004002002	A0	40004001003
40004002009	A0	40004001003
40004003002	A0	40004003004
40004003004	A0	40004001014
40004003005	A0	40004003004
40004003005	A2	40004003006
40004003012	A0	40004001003
40004004003	A1	40004001003
40004004004	A0	40004004001
40004004005	A1	40004004010
40004004005	A1	40004004016
40004004010	A0	40004004012
40004004017	A0	40004004016
40004005002	A1	40004005003
40004005002	A0	40004005005
40004005011	A0	40004005005
40004005011	A1	40004005012
40004006002	A0	40004005005
40004006002	A2	40004006003
40004006009	A0	40004001003
40004006009	A1	40004006010
40004006012	A1	40004006018
40004006012	A1	40004006024
40004006012	A1	40004006027
40004006018	A0	40004006008
40004006018	A1	00000000000
40004006018	A2	40004006016
40004006024	A0	40004006016
40004006024	A1	40004006025
40004006028	A0	40004001003
40004006028	A1	40004006031
40004007001	A2	40004007002
40004007001	A0	40004007004
40004007006	A1	40004007008
40004007008	A0	00000000000
40004007008	A1	40004007009
40004008002	A1	40004008003
40004008002	A0	40004008005
40004008011	A0	40004008005
40004008011	A2	40004008012
40004008011	A1	40004008015
40004008011	A1	40004008020
40004009002	A0	40004008005
40004009002	A2	40004009003
40004009007	A0	40004008005
40004009007	A1	40004009004
40004009007	A2	40004009005
40004009009	A0	40004007004
40004009010	A0	40004007004
40004009010	A1	40004009011
40004010002	A2	40004010003
40004010002	A0	40004010005
40004010006	A0	40004010007
40004010008	A1	40004010014
40004010008	A1	40004010018
40004010014	A0	00000000000
40004010014	A1	40004010010
40004010018	A0	00000000000
40004010018	A1	40004010016
40004011002	A1	40004011003
40004011002	A0	40004011005
40004011009	A0	40004011008
40004011011	A0	40004011008
40004011011	A1	40004011012
40004012001	A0	40004010005
40004012005	A1	40004012004
40004012006	A0	40004010005
40004013002	A0	40004010005
40004013002	A1	40004013004
40004013005	A0	40004010005
40004013006	A0	40004010005
40004014002	A1	40004014004
40004014004	A1	00000000000
40004014009	A0	40004014006
40004016004	A0	40004016002
40004016008	A0	40004016002
40004016008	A1	40004016007
40004016012	A0	00000000000
40004016019	A0	40004016018
40004017003	A0	40004017005
40004017003	A1	40004017006
40004017003	A1	40004017008
40004017006	A0	40004017005
40004017008	A0	40004017005
40004017009	A0	00000000000
40004017010	A0	40004017013
40004018001	A0	40004017005
40004018008	A0	40004017005
40004018008	A1	40004018020
40004018020	A0	40004018010
40004018020	A1	40004018021
40004019002	A0	40004017005
40004019002	A2	40004019003
40004019004	A0	40004018010
40004019008	A0	40004017005
40004019008	A1	40004019009
40004020004	A0	40004018010
40004020004	A1	40004020006
40004020007	A0	40004020001
40004020007	A1	40004020008
40004021002	A0	40004017005
40004021004	A0	40004017005
40004021004	A1	40004021025
40004021025	A0	40004021007
40004021025	A1	40004021027
40004021030	A0	40004017005
40004021030	A1	40004021031
40004022004	A0	40004018010
40004022004	A1	40004022006
40004022004	A1	40004022009
40004022011	A0	40004022001
40004022011	A1	40004022012
40004023002	A0	40004017005
40004023007	A0	40004017005
40004023013	A0	40004017005
40004023013	A1	40004023015
40004023019	A0	40004017005
40004023019	A1	40004023021
40004023019	A1	40004023024
40004024002	A0	40004024004
40004024011	A0	40004024009
40004024011	A2	40004024012
40004024011	A1	40004024016
40004024016	A0	00000000000
40004024021	A1	00000000000
40004024022	A0	00000000000
40004024024	A0	00000000000
40004024028	A0	40004017005
40004024028	A1	40004024029
40004025002	A1	40004025003
40004025002	A0	40004025004
40005001001	A0	40004017005
40005001001	A1	40005001004
40005001005	A0	40004017005
40005001010	A0	40005001011
40005001012	A0	40005001015
40005002002	A0	40004017005
40005002002	A1	40005002004
40005002006	A0	40004017005
40005002006	A1	40005002007
40005002008	A0	40004017005
40005004003	A0	00000000000
40005004006	A1	40005004005
40005005006	A0	40005005005
40005005006	A1	40005005008
40005006003	A0	00000000000
40005006003	A1	40005006007
40005006005	A0	00000000000
40005006005	A1	40005006007
40005006010	A1	40005006009
40005007006	A1	40005007005
40005008010	A0	40005008007
40005008010	A1	40005008009
40005010003	A1	00000000000
40005011004	A0	00000000000
40005011004	A1	40005011005
40005011007	A0	00000000000
40005011009	A0	00000000000
40005011009	A1	40005011011
40005011014	A0	00000000000
40005012001	A0	40005001015
40005012003	A0	40005001015
40005012014	A0	00000000000
40005012014	A1	40005012016
40005013011	A1	40005013010
40005013014	A1	40005013010
40005013017	A0	40005013010
40005013021	A1	40005013010
40005013023	A1	40005013010
40005014008	A0	40005014009
40005014008	A1	40005014010
40005014010	A1	40005014009
40005014013	A0	40005014009
40005015002	A0	40005013026
40005015002	A1	40005015003
40005015005	A0	40005013026
40005015005	A1	40005015006
40005015015	A0	40005015003
40005016002	A0	40005016004
40005016010	A0	40005016008
40005016010	A1	40005016014
40005016016	A0	40005016008
40005016016	A1	40005016018
40005017002	A0	40005001015
40005017004	A0	40004017005
40005017005	A0	40004017005
40005017005	A1	40005017007
40005017005	A1	40005017010
40005017012	A0	40004017005
40005017013	A0	40004017005
40005017015	A0	40004017005
40005018003	A0	40004017005
40005018003	A2	40005018004
40005018007	A0	40005018009
40005018007	A0	40005018012
40005018020	A0	40005018013
40005018020	A0	40005018017
40005018027	A0	40005018026
40005019004	A0	40005019001
40005019004	A1	40005019005
40005019012	A0	40005019001
40005019012	A1	40005019015
40005019026	A0	40005019023
40005019028	A0	40005019023
40005020001	A0	40004017005
40005020001	A2	40005020003
40005020007	A0	40005020010
40005020018	A0	40005001015
40005021001	A0	40005001015
40005021003	A1	40005021007
40005021003	A1	40005021012
40005021003	A2	40005021005
40005021007	A0	40005021005
40005021011	A0	40005021008
40005022003	A0	40005022001
40005022003	A2	40005022004
40005022008	A0	00000000000
40005022008	A1	40005022010
40005022019	A0	40005022016
40005022019	A2	40005022021
40005022031	A0	40005022028
40005023003	A0	40005001015
40005023003	A1	40005023005
40005023011	A1	40005001015
40005023016	A0	40005023014
40005023016	A1	40005023017
40005024001	A0	40005001015
40005024001	A1	40005024004
40005024010	A0	40005001015
40005024012	A1	40005001015
40005024018	A0	40005001015
40005024019	A0	40005001015
40005024019	A1	40005024021
40005025002	A0	40005001015
40005025018	A1	40005025017
40005025018	A0	40005025020
40005025018	A2	40005025022
40005026002	A0	40004017005
40005026002	A2	40005026003
40005026006	A0	40005001015
40005026010	A0	40005001015
40005026010	A1	40005026013
40005027001	A0	40005001015
40005027003	A1	40005027005
40005027005	A0	00000000000
40005028003	A0	40005028001
40005028003	A2	40005028004
40005028008	A0	00000000000
40005028008	A1	40005028009
40005028012	A0	40005028008
40005028012	A1	40005028013
40005028015	A0	40005028008
40005028015	A1	40005028016
40005029008	A0	40005029004
40005029008	A1	40005029009
40005029010	A0	40005001015
40005029010	A1	40005029011
40005029013	A0	40005001015
40005029016	A0	40005029020
40005029016	A0	40005029031
40005029020	A0	40005029021
40005029031	A1	40005029029
40005030007	A0	40005030006
40005030007	A1	40005030008
40005030009	A0	40005001015
40005030009	A1	40005030010
40005030012	A0	40005001015
40005030015	A0	40005030019
40005030015	A0	40005030032
40005030019	A0	40005030020
40005030032	A0	40005030028
40005031001	A1	40005031009
40005031005	A0	40005031003
40005031005	A1	40005031007
40005031009	A0	40005031005
40005031009	A2	40005031010
40005031009	A1	40005031011
40005032003	A0	40005032001
40005032003	A2	40005032004
40005032008	A0	00000000000
40005032008	A1	40005032010
40005032015	A0	40005032008
40005032015	A1	40005032017
40005032017	A1	40005032016
40005032021	A1	00000000000
40005032022	A0	40005032019
40005032022	A1	40005032021
40005032023	A0	40005032022
40005033002	A0	40005001015
40005033004	A1	40005033008
40005033004	A1	40005033009
40005033004	A2	40005033006
40005033008	A0	40005033006
40005033009	A0	40005033006
40005033009	A2	40005033012
40005033009	A1	40005033014
40005034003	A0	40005034001
40005034003	A2	40005034004
40005034006	A0	40005001015
40005036006	A0	40005001015
40005036009	A0	40005001015
40005036009	A1	40005036013
40005036013	A0	40005001015
40005036013	A1	40005036011
40005038001	A0	40005001015
40005038003	A1	40005038004
40005038003	A1	40005038008
40005039003	A0	40005039001
40005039003	A2	40005039004
40005039003	A1	40005039006
40005039006	A0	40005001015
40005039006	A1	40005039008
40005039012	A0	40005039010
40005039012	A1	40005039011
40005039018	A0	40005001015
40005039018	A2	40005039019
40005039018	A1	40005039022
40005040003	A0	00000000000
40005040003	A1	40005040005
40005040003	A1	40005040010
40005040005	A1	40005040003
40005040010	A0	40005040003
40005040010	A1	40005040008
40005040011	A0	40005001015
40005040011	A2	40005040012
40005040011	A1	40005040015
40005041004	A0	40005041002
40005041004	A1	40005041003
40005041007	A0	40005001015
40005042002	A0	00000000000
40005042002	A1	40005042003
40005042004	A0	40005001015
40005042004	A1	00000000000
40005042004	A2	40005042002
40005042007	A0	00000000000
40005042007	A1	40005042010
40005042010	A0	40005042007
40005042012	A1	40005001015
40005042012	A1	40005042007
40005043001	A0	40005001015
40005043003	A1	40005043004
40005043003	A1	40005043009
40005043004	A0	00000000000
40005043004	A1	40005043006
40005043009	A0	00000000000
40005043009	A1	40005043011
40005044003	A0	40005044001
40005044003	A2	40005044004
40005044005	A0	40005001015
40005044005	A1	40005044007
40005044010	A0	40005001015
40005044013	A0	00000000000
40005044013	A1	40005044014
40005045014	A0	40005045005
40005045014	A1	40005045012
40005045020	A0	40005045005
40005046003	A0	40005001015
40005046003	A1	40005046005
40005046005	A0	00000000000
40005046005	A1	40005046006
40005046009	A0	40005001015
40005046009	A1	40005046008
40005046016	A0	40005046013
40005046016	A1	40005046015
40005047003	A0	40005001015
40005047003	A1	40005047005
40005047010	A0	40005001015
40005047010	A1	40005047009
40005047017	A0	40005047014
40005047017	A1	40005047016
40006001001	A0	40005001015
40006001001	A1	40006001007
40006001007	A0	40005001015
40006001007	A1	40006001004
40006001013	A1	40005001015
40006001020	A0	40005001015
40006001020	A1	40006001018
40006002003	A0	40005001015
40006002003	A1	40006002004
40006002006	A0	40005001015
40006002012	A0	40006002011
40006002021	A1	40006002011
40006002026	A0	40004017005
40006002026	A2	40006002027
40006002028	A0	40006002011
40006002028	A1	40006002030
40006003003	A0	40006003001
40006003003	A1	40006003004
40006003006	A0	40006003008
40006003011	A1	40006003010
40006003011	A0	40006003013
40006004014	A0	40006004011
40006004018	A0	40006004011
40006004018	A1	00000000000
40006004018	A2	40006004019
40006005003	A0	40005001015
40006005010	A0	40006005008
40006005010	A1	40006005021
40006005020	A0	40006005008
40006005021	A0	40006005008
40006005023	A1	40006005008
40006005027	A0	40004017005
40006005027	A2	40006005028
40006005029	A0	40006005008
40006005029	A1	40006005031
40006006004	A0	40006006001
40006006005	A0	40005001015
40006006011	A0	40005001015
40006006011	A1	40006006013
40006006015	A0	40005001015
40006006015	A1	00000000000
40006006015	A2	40006006017
40006006028	A0	40006006025
40006006032	A0	40006006025
40006006032	A1	00000000000
40006006032	A2	40006006033
40006007001	A0	40005001015
40006007004	A0	40005001015
40006007008	A0	40006007007
40006007015	A1	40006007007
40006008003	A1	40005001015
40006008005	A0	40006008008
40006008005	A1	40006008012
40006008012	A0	40005001015
40006008012	A1	40006008011
40006008016	A0	40006008015
40006008016	A1	40006008017
40006009003	A0	40006009004
40006009011	A1	40006009013
40006010001	A0	40006010003
40006010005	A1	40006010007
40006011006	A0	40006009005
40006011006	A1	40006011002
40006011006	A2	40006011007
40006012002	A0	40006009005
40006012002	A2	40006012003
40006012002	A1	40006012005
40006012010	A0	40006012009
40006012010	A1	00000000000
40006012010	A2	40006012012
40006013003	A0	40006009005
40006013003	A1	40006013004
40006013008	A0	40006009005
40006013008	A1	40006013009
40006014003	A0	40005001015
40006014003	A2	40006014005
40006014003	A1	40006014007
40006014009	A2	40006014011
40006014009	A1	40006015013
40006014009	A0	40006014013
40006015004	A0	40005001015
40006015004	A1	40006014007
40006015004	A2	40006015006
40006015011	A0	40006015009
40006015011	A1	40006015013
40006016003	A0	40005001015
40006016010	A0	40006016008
40006016010	A1	40006016013
40006016016	A1	40006016008
40006016016	A2	40006016018
40006016016	A1	40006016019
40006016019	A0	40006016008
40006016021	A0	40004017005
40006016021	A2	40006016022
40006016023	A0	40006016008
40006016023	A1	40006016025
40006017003	A0	40005001015
40006017004	A0	40006017001
40006017004	A1	40006017007
40006017012	A0	40005001015
40006017012	A1	40006017010
40006018003	A1	40005001015
40006018003	A2	40006018005
40006018003	A1	40006018006
40006018006	A0	40005001015
40006018020	A0	40006018017
40006018024	A0	40006018017
40006018024	A1	00000000000
40006018024	A2	40006018025
40006019002	A0	40005001015
40006019002	A2	40006019003
40006019002	A1	40006019004
40006019012	A0	40006019009
40006019012	A0	40006019011
40006019016	A0	40006019015
40006019018	A0	40006019015
40006020001	A0	40005001015
40006020001	A2	40006020003
40006020001	A1	40006020004
40006020012	A0	40006020009
40006020012	A0	40006020011
40006020017	A0	40006020015
40006020019	A0	40006020015
40006024002	A0	40006024001
40006024002	A1	40006024005
40006024005	A0	40006024001
40006024005	A1	40006024004
40006024010	A0	40006024001
40006024010	A1	40006024009
40006024014	A0	40006024001
40006024014	A1	40006024013
40006024017	A0	40006024001
40006024017	A1	40006024016
40006024021	A0	40006024001
40006024021	A1	40006024020
40006024023	A0	40005001015
40006024023	A1	40006024025
40006024023	A1	40006024027
40006024025	A0	40005001015
40006024025	A1	40006024024
40006025003	A0	40004017005
40006025003	A2	40006025004
